user_id,page,timestamp,session_duration
201,home,2024-01-15 09:30:15,45
202,products,2024-01-16 14:22:30,120
203,about,2024-01-17 11:15:45,30
204,contact,2024-01-18 16:45:00,25
205,products,2024-01-19 10:30:15,180
206,home,2024-01-20 13:45:30,60
207,checkout,2024-01-21 15:20:45,300
208,products,2024-01-22 12:10:00,240
209,about,2024-01-23 09:45:15,35
210,home,2024-01-24 14:30:30,90
201,products,2024-01-25 11:20:45,150
202,checkout,2024-01-26 16:15:00,420
203,contact,2024-01-27 10:45:15,40
204,home,2024-01-28 13:30:30,75
205,about,2024-01-29 15:45:45,50
206,products,2024-01-30 12:20:00,200
207,home,2024-01-31 09:15:15,85
208,checkout,2024-02-01 14:45:30,380
209,products,2024-02-02 11:30:45,165
210,contact,2024-02-03 16:20:00,30
201,home,2024-02-04 10:45:15,55
202,about,2024-02-05 13:15:30,40
203,products,2024-02-06 15:30:45,190
204,checkout,2024-02-07 12:45:00,340
205,home,2024-02-08 09:20:15,70